First Name,Last Name,Date of Birth,IdentificationNumber,Address,Phone Number,Checking Account Number,Savings Account Number,Credit Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance
Mickey,Mouse,"November 22, 1943",1,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1000,2000,3000,837.49,3795.93,-1549.33
Donald,Duck,"September 5, 1983",2,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1001,2001,3001,1688.89,1731.09,-986.23
Minnie,Mouse,"April 9, 2010",3,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1002,2002,3002,244.36,676.12,-459.78
Goofy,Disney,"July 2, 1933",4,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1003,2003,3003,1587.85,4688.16,-752.22
Pluto,Disney,"July 5, 1941",5,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1004,2004,3004,547.56,2316.37,-411.84
Chip,Disney,"January 12, 1947",6,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1005,2005,3005,1060.3,3286.32,-1492.58
Dale,Disney,"November 28, 1930",7,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1006,2006,3006,1301.8899999999999,1775.11,-1775.92
Cinderella,Disney,"November 14, 1977",8,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1007,2007,3007,1061.07,2876.42,-1039.75
Ariel,Disney,"September 15, 1932",9,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1008,2008,3008,19.45,3091.05,-113.11
Jasmine,Disney,"September 20, 1932",10,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1009,2009,3009,1745.05,4135.41,-1456.51
Aladdin,Disney,"November 9, 1992",11,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1010,2010,3010,699.52,3517.98,-464.05
Simba,Disney,"July 25, 1934",12,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1011,2011,3011,1566.61,1570.65,-980.76
Mufassa,Disney,"July 29, 1965",13,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1012,2012,3012,958.83,3483.09,-1918.16
Aurora,Disney,"January 21, 1937",14,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1013,2013,3013,1396.14,1644.06,-271.98
Peter,Pan,"November 11, 1973",15,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1014,2014,3014,1817.07,1405.99,-307.82
Woody,Disney,"July 2, 1990",16,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1015,2015,3015,1486.52,3904.7,-1610.58
Buzz,Lightyear,"June 5, 2003",17,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1016,2016,3016,1969.33,3035.22,-481.38
Jafar,Aladdin,"December 11, 1995",18,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1017,2017,3017,803.62,3034.57,-1822.07
Ursela,Mermaid,"January 9, 1937",19,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1018,2018,3018,855.38,2398.88,-250.54
Beast,Disney,"August 29, 1969",20,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1019,2019,3019,682.79,168.04,-128.34
Belle,Disney,"September 6, 1928",21,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1020,2020,3020,403.9,1412.94,-391.33
Cruella,De Vil,"September 22, 1996",22,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1021,2021,3021,966.03,4202.65,-69.18
Scar,Lion,"June 18, 2017",23,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1022,2022,3022,344.68,3610.62,-311.93
Simba,King,"March 13, 2018",24,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1023,2023,3023,1624.91,3397.5,-211.95
Gaston,Disney,"July 11, 1943",25,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1024,2024,3024,1181.1,414.81,-1403.22
Shere,Khan,"September 15, 1962",26,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1025,2025,3025,1972.54,3912.97,-714.46
Captaiin,Hook,"December 6, 1971",27,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1026,2026,3026,997.05,1425.77,-1869.37
Kaa,Disney,"November 10, 1961",28,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1027,2027,3027,1084.34,4665.51,-1979.55
Evil,Queen,"February 18, 1981",29,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1028,2028,3028,955.49,4205.99,-1858.65
Pinocchio,Disney,"July 3, 1941",30,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1029,2029,3029,1713.08,3767.19,-215.12
Prince,Eric,"September 28, 1953",31,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1030,2030,3030,114.21,1978.53,-1016.1
Quasimodo,Disney,"November 4, 1989",32,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1031,2031,3031,1206.59,4790.61,-1975.11
Hercules,Disney,"February 14, 1966",33,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1032,2032,3032,668.7,1602.05,-1767.56
Mulan,Disney,"July 6, 1966",34,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1033,2033,3033,1096.88,285.32,-1441.93
Lilo,Disney,"September 21, 1969",35,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1034,2034,3034,1844.34,146.14,-1790.21
Stitch,Disney,"January 20, 1954",36,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1035,2035,3035,341.33,1858.86,-35.2
