First Name,Last Name,Date of Birth,IdentificationNumber,Address,Phone Number,Checking Account Number,Savings Account Number,Credit Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance,Credit Max
Daniel,A,5-Mar-39,79,"500 W. University Ave, El Paso, TX 79968",9157475042,1078,2078,3078,857.56,3364.79,-786.93,7985
Derek,Aguirre,5-May-41,49,"500 W. University Ave, El Paso, TX 79968",9157475012,1048,2048,3048,1845.56,3352.49,-58.57,8899
Jafar,Aladdin,20-Jan-83,18,"1313 Disneyland Dr, Anaheim, CA 92802",7147814636,1017,2017,3017,518.07,2220.54,-406.48,3029
Nathan,Aun,6-Aug-94,76,"500 W. University Ave, El Paso, TX 79968",9157475039,1075,2075,3075,1352.3,132.29,-1240.71,8789
Alex,Avila,19-Oct-65,38,"500 W. University Ave, El Paso, TX 79968",9157475001,1037,2037,3037,85.09,516.33,-1827.58,3484
Daniel,B,25-Dec-18,80,"500 W. University Ave, El Paso, TX 79968",9157475043,1079,2079,3079,362.4,2413.6,-1911.51,8357
Gavin,Baechle,16-Sep-58,54,"500 W. University Ave, El Paso, TX 79968",9157475017,1053,2053,3053,1734.37,4768.87,-886.85,5352
David,Baptiste,5-May-98,48,"500 W. University Ave, El Paso, TX 79968",9157475011,1047,2047,3047,1076.98,3271.72,-281.86,7772
Alfonso,Beltran,13-Mar-01,39,"500 W. University Ave, El Paso, TX 79968",9157475002,1038,2038,3038,474.39,3447.36,-866.29,3177
Dafne,Bencomo,12-Jul-72,47,"500 W. University Ave, El Paso, TX 79968",9157475010,1046,2046,3046,519.88,1812.87,-1863.49,8798
Laura,Blanco,7-Aug-04,64,"500 W. University Ave, El Paso, TX 79968",9157475027,1063,2063,3063,1506.74,4347.22,-1050.73,6487
Brandon,Bustamante,17-Oct-53,44,"500 W. University Ave, El Paso, TX 79968",9157475007,1043,2043,3043,355.39,3764.74,-1452.54,6698
Daniel,C,25-May-47,81,"500 W. University Ave, El Paso, TX 79968",9157475044,1080,2080,3080,909.74,342.74,-505.4,9400
Cesar,Cabrera,22-Jun-89,45,"500 W. University Ave, El Paso, TX 79968",9157475008,1044,2044,3044,1806.19,1685.66,-1906.17,9182
Roberto,Carrasco,21-Oct-02,73,"500 W. University Ave, El Paso, TX 79968",9157475036,1072,2072,3072,1152.39,2408.91,-160.0,9319
Lidice,Castro Jimenez,27-Jan-84,66,"500 W. University Ave, El Paso, TX 79968",9157475029,1065,2065,3065,1942.67,655.67,-1930.17,4080
Alyssandra,Cordero,30-Aug-32,41,"500 W. University Ave, El Paso, TX 79968",9157475004,1040,2040,3040,1169.49,1375.06,-1725.64,5166
Daniel,D,7-Oct-01,82,"500 W. University Ave, El Paso, TX 79968",9157475045,1081,2081,3081,731.6,3235.49,-883.24,9172
Minh,Dang,21-Dec-09,70,"500 W. University Ave, El Paso, TX 79968",9157475033,1069,2069,3069,623.42,1691.78,-1966.94,5351
